Primeiro algoritmo

10,1.0237999595119618e-05
20,2.9250300212879665e-05
30,7.356729984167031e-05
40,0.00017624610045459123
50,0.00042714159972092605
60,0.001070634900679579
70,0.002515154298816924
80,0.006232851799722994
90,0.014714953999282443
100,0.03623638359968027
110,0.08851478829965345
120,0.2202506584002549
130,0.5096702802995423
140,1.2387258532995475

Segundo algoritmo

10,1.5532599718426354e-05
20,4.158259871474001e-05
30,0.00011388430029910524
40,0.00025687540037324654
50,0.000635639700703905
60,0.0016088281005067983
70,0.004472357099803048
80,0.00908720700062986
90,0.02211797470044985
100,0.05270772299954842
110,0.12470599800035416
120,0.2938795251000556
130,0.7081519005994779
140,1.6762053956997989
